,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
353031,2020-01-20,Gyeongsangbuk-do,Andong,female,90,0,0,0.0,0.0,0.0,0.0
353003,2020-01-20,Gyeonggi-do,Ansan,female,90,0,0,0.0,0.0,0.0,0.0
353004,2020-01-20,Gyeonggi-do,Anseong,female,90,0,0,0.0,0.0,0.0,0.0
353005,2020-01-20,Gyeonggi-do,Anyang,female,90,0,0,0.0,0.0,0.0,0.0
352966,2020-01-20,Chungcheongnam-do,Asan,female,90,0,0,0.0,0.0,0.0,0.0
353032,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,90,0,0,0.0,0.0,0.0,0.0
353006,2020-01-20,Gyeonggi-do,Bucheon,female,90,0,0,0.0,0.0,0.0,0.0
352944,2020-01-20,Busan,Buk,female,90,0,0,0.0,0.0,0.0,0.0
352982,2020-01-20,Daegu,Buk,female,90,0,0,0.0,0.0,0.0,0.0
352999,2020-01-20,Gwangju,Buk,female,90,0,0,0.0,0.0,0.0,0.0
353111,2020-01-20,Ulsan,Buk,female,90,0,0,0.0,0.0,0.0,0.0
353065,2020-01-20,Incheon,Bupyeong,female,90,0,0,0.0,0.0,0.0,0.0
352945,2020-01-20,Busan,Busanjin,female,90,0,0,0.0,0.0,0.0,0.0
352967,2020-01-20,Chungcheongnam-do,Buyeo,female,90,0,0,0.0,0.0,0.0,0.0
353050,2020-01-20,Gyeongsangnam-do,Changnyeong,female,90,0,0,0.0,0.0,0.0,0.0
353051,2020-01-20,Gyeongsangnam-do,Changwon,female,90,0,0,0.0,0.0,0.0,0.0
352968,2020-01-20,Chungcheongnam-do,Cheonan,female,90,0,0,0.0,0.0,0.0,0.0
353033,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,90,0,0,0.0,0.0,0.0,0.0
352959,2020-01-20,Chungcheongbuk-do,Cheongju,female,90,0,0,0.0,0.0,0.0,0.0
353034,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,90,0,0,0.0,0.0,0.0,0.0
352988,2020-01-20,Gangwon-do,Cheorwon,female,90,0,0,0.0,0.0,0.0,0.0
353035,2020-01-20,Gyeongsangbuk-do,Chilgok,female,90,0,0,0.0,0.0,0.0,0.0
352989,2020-01-20,Gangwon-do,Chuncheon,female,90,0,0,0.0,0.0,0.0,0.0
352960,2020-01-20,Chungcheongbuk-do,Chungju,female,90,0,0,0.0,0.0,0.0,0.0
352983,2020-01-20,Daejeon,Daedeok,female,90,0,0,0.0,0.0,0.0,0.0
352975,2020-01-20,Daegu,Dalseo,female,90,0,0,0.0,0.0,0.0,0.0
352976,2020-01-20,Daegu,Dalseong,female,90,0,0,0.0,0.0,0.0,0.0
352961,2020-01-20,Chungcheongbuk-do,Danyang,female,90,0,0,0.0,0.0,0.0,0.0
353086,2020-01-20,Seoul,Dobong,female,90,0,0,0.0,0.0,0.0,0.0
352946,2020-01-20,Busan,Dong,female,90,0,0,0.0,0.0,0.0,0.0
352977,2020-01-20,Daegu,Dong,female,90,0,0,0.0,0.0,0.0,0.0
352984,2020-01-20,Daejeon,Dong,female,90,0,0,0.0,0.0,0.0,0.0
353000,2020-01-20,Gwangju,Dong,female,90,0,0,0.0,0.0,0.0,0.0
353066,2020-01-20,Incheon,Dong,female,90,0,0,0.0,0.0,0.0,0.0
353112,2020-01-20,Ulsan,Dong,female,90,0,0,0.0,0.0,0.0,0.0
353087,2020-01-20,Seoul,Dongdaemun,female,90,0,0,0.0,0.0,0.0,0.0
353007,2020-01-20,Gyeonggi-do,Dongducheon,female,90,0,0,0.0,0.0,0.0,0.0
