,date,sex,age,confirmed,deceased
163,2020-03-11,male,10,153,0
164,2020-03-11,male,20,850,0
165,2020-03-11,male,30,305,0
166,2020-03-11,male,40,411,0
167,2020-03-11,male,50,559,3
168,2020-03-11,male,60,364,8
169,2020-03-11,male,70,183,12
170,2020-03-11,male,80,89,9
171,2020-03-11,female,0,46,0
172,2020-03-11,female,10,251,0
173,2020-03-11,female,20,1387,0
174,2020-03-11,female,30,498,0
175,2020-03-11,female,40,670,0
176,2020-03-11,female,50,912,2
177,2020-03-11,female,60,595,5
178,2020-03-11,female,70,299,8
179,2020-03-11,female,80,146,7
180,2020-03-12,male,0,28,0
181,2020-03-12,male,10,156,0
182,2020-03-12,male,20,860,0
183,2020-03-12,male,30,308,0
184,2020-03-12,male,40,418,0
185,2020-03-12,male,50,568,3
186,2020-03-12,male,60,369,8
187,2020-03-12,male,70,189,13
188,2020-03-12,male,80,92,11
189,2020-03-12,female,0,47,0
190,2020-03-12,female,10,255,0
191,2020-03-12,female,20,1400,0
192,2020-03-12,female,30,503,0
193,2020-03-12,female,40,682,0
194,2020-03-12,female,50,926,2
195,2020-03-12,female,60,602,5
196,2020-03-12,female,70,307,10
197,2020-03-12,female,80,150,8
198,2020-03-13,male,0,29,0
199,2020-03-13,male,10,160,0
200,2020-03-13,male,20,867,0
201,2020-03-13,male,30,313,0
202,2020-03-13,male,40,425,0
203,2020-03-13,male,50,580,3
204,2020-03-13,male,60,375,8
205,2020-03-13,male,70,192,13
206,2020-03-13,male,80,96,12
207,2020-03-13,female,0,47,0
208,2020-03-13,female,10,260,0
209,2020-03-13,female,20,1406,0
210,2020-03-13,female,30,509,0
211,2020-03-13,female,40,691,0
212,2020-03-13,female,50,942,2
213,2020-03-13,female,60,609,5
214,2020-03-13,female,70,313,10
215,2020-03-13,female,80,156,8
216,2020-03-14,male,0,31,0
217,2020-03-14,male,10,162,0
218,2020-03-14,male,20,876,0
219,2020-03-14,male,30,319,0
220,2020-03-14,male,40,434,0
221,2020-03-14,male,50,594,3
222,2020-03-14,male,60,382,7
223,2020-03-14,male,70,197,15
224,2020-03-14,male,80,100,13
225,2020-03-14,female,0,49,0
226,2020-03-14,female,10,261,0
227,2020-03-14,female,20,1410,0
228,2020-03-14,female,30,513,0
229,2020-03-14,female,40,698,0
230,2020-03-14,female,50,956,2
231,2020-03-14,female,60,616,6
232,2020-03-14,female,70,317,11
233,2020-03-14,female,80,162,9
234,2020-03-15,male,0,31,0
235,2020-03-15,male,10,164,0
236,2020-03-15,male,20,884,0
237,2020-03-15,male,30,323,0
238,2020-03-15,male,40,438,0
239,2020-03-15,male,50,602,3
240,2020-03-15,male,60,388,7
241,2020-03-15,male,70,201,15
242,2020-03-15,male,80,101,13
243,2020-03-15,female,0,51,0
244,2020-03-15,female,10,262,0
245,2020-03-15,female,20,1416,0
246,2020-03-15,female,30,518,0
247,2020-03-15,female,40,702,0
248,2020-03-15,female,50,965,2
249,2020-03-15,female,60,623,6
250,2020-03-15,female,70,323,12
251,2020-03-15,female,80,161,11
252,2020-03-16,male,0,32,0
253,2020-03-16,male,10,166,0
254,2020-03-16,male,20,889,0
255,2020-03-16,male,30,326,0
256,2020-03-16,male,40,441,0
257,2020-03-16,male,50,609,3
258,2020-03-16,male,60,394,7
259,2020-03-16,male,70,204,15
260,2020-03-16,male,80,103,13
261,2020-03-16,female,0,52,0
262,2020-03-16,female,10,265,0
263,2020-03-16,female,20,1423,0
264,2020-03-16,female,30,522,0
265,2020-03-16,female,40,705,0
266,2020-03-16,female,50,975,2
267,2020-03-16,female,60,629,6
268,2020-03-16,female,70,326,12
269,2020-03-16,female,80,166,11
270,2020-03-17,male,0,33,0
271,2020-03-17,male,10,167,0
272,2020-03-17,male,20,896,0
273,2020-03-17,male,30,329,0
274,2020-03-17,male,40,447,0
275,2020-03-17,male,50,616,3
276,2020-03-17,male,60,397,8
277,2020-03-17,male,70,207,15
278,2020-03-17,male,80,105,15
279,2020-03-17,female,0,52,0
280,2020-03-17,female,10,268,0
281,2020-03-17,female,20,1433,0
282,2020-03-17,female,30,526,0
283,2020-03-17,female,40,716,0
284,2020-03-17,female,50,985,2
285,2020-03-17,female,60,635,7
286,2020-03-17,female,70,331,13
287,2020-03-17,female,80,168,12
288,2020-03-18,male,0,33,0
289,2020-03-18,male,10,168,0
290,2020-03-18,male,20,901,0
291,2020-03-18,male,30,336,0
292,2020-03-18,male,40,450,0
293,2020-03-18,male,50,621,3
294,2020-03-18,male,60,407,8
295,2020-03-18,male,70,208,15
296,2020-03-18,male,80,110,16
297,2020-03-18,female,0,53,0
298,2020-03-18,female,10,269,0
299,2020-03-18,female,20,1440,0
300,2020-03-18,female,30,536,0
301,2020-03-18,female,40,720,0
302,2020-03-18,female,50,993,2
303,2020-03-18,female,60,651,7
304,2020-03-18,female,70,333,13
305,2020-03-18,female,80,175,14
306,2020-03-19,male,0,35,0
307,2020-03-19,male,10,170,0
308,2020-03-19,male,20,907,0
309,2020-03-19,male,30,340,0
310,2020-03-19,male,40,454,0
311,2020-03-19,male,50,631,3
312,2020-03-19,male,60,415,9
313,2020-03-19,male,70,216,18
314,2020-03-19,male,80,123,16
315,2020-03-19,female,0,55,0
316,2020-03-19,female,10,273,0
317,2020-03-19,female,20,1450,0
318,2020-03-19,female,30,545,0
319,2020-03-19,female,40,726,0
320,2020-03-19,female,50,1010,3
321,2020-03-19,female,60,664,7
322,2020-03-19,female,70,345,15
323,2020-03-19,female,80,197,14
324,2020-03-20,male,0,37,0
325,2020-03-20,male,10,173,0
326,2020-03-20,male,20,910,0
327,2020-03-20,male,30,343,0
328,2020-03-20,male,40,459,0
329,2020-03-20,male,50,637,3
330,2020-03-20,male,60,422,9
331,2020-03-20,male,70,218,18
332,2020-03-20,male,80,126,17
333,2020-03-20,female,0,59,0
334,2020-03-20,female,10,278,0
335,2020-03-20,female,20,1454,0
336,2020-03-20,female,30,549,0
337,2020-03-20,female,40,733,0
338,2020-03-20,female,50,1018,3
339,2020-03-20,female,60,676,7
340,2020-03-20,female,70,349,16
341,2020-03-20,female,80,202,15
342,2020-03-21,male,0,38,0
343,2020-03-21,male,10,175,0
344,2020-03-21,male,20,916,0
345,2020-03-21,male,30,346,0
346,2020-03-21,male,40,463,0
347,2020-03-21,male,50,643,3
348,2020-03-21,male,60,430,9
349,2020-03-21,male,70,226,19
350,2020-03-21,male,80,146,20
351,2020-03-21,female,0,60,0
352,2020-03-21,female,10,281,0
353,2020-03-21,female,20,1463,0
354,2020-03-21,female,30,553,0
355,2020-03-21,female,40,739,0
356,2020-03-21,female,50,1028,3
357,2020-03-21,female,60,687,8
358,2020-03-21,female,70,362,17
359,2020-03-21,female,80,234,18
360,2020-03-22,male,0,38,0
361,2020-03-22,male,10,177,0
362,2020-03-22,male,20,923,0
363,2020-03-22,male,30,350,0
364,2020-03-22,male,40,470,0
365,2020-03-22,male,50,651,3
366,2020-03-22,male,60,436,8
367,2020-03-22,male,70,229,19
368,2020-03-22,male,80,151,21
369,2020-03-22,female,0,62,0
370,2020-03-22,female,10,282,0
371,2020-03-22,female,20,1472,0
372,2020-03-22,female,30,558,0
373,2020-03-22,female,40,750,0
374,2020-03-22,female,50,1039,3
375,2020-03-22,female,60,695,8
376,2020-03-22,female,70,365,17
377,2020-03-22,female,80,240,19
378,2020-03-23,male,0,39,0
379,2020-03-23,male,10,177,0
380,2020-03-23,male,20,932,0
381,2020-03-23,male,30,353,0
382,2020-03-23,male,40,473,0
383,2020-03-23,male,50,656,3
384,2020-03-23,male,60,439,9
385,2020-03-23,male,70,231,19
386,2020-03-23,male,80,152,24
387,2020-03-23,female,0,63,0
388,2020-03-23,female,10,282,0
389,2020-03-23,female,20,1484,0
390,2020-03-23,female,30,563,0
391,2020-03-23,female,40,754,0
392,2020-03-23,female,50,1045,3
393,2020-03-23,female,60,699,8
394,2020-03-23,female,70,367,18
395,2020-03-23,female,80,243,21
396,2020-03-24,male,0,40,0
