,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
529503,2020-01-20,Gyeongsangbuk-do,Andong,All,20,0,0,0.0,0.0,0.0,0.0
529475,2020-01-20,Gyeonggi-do,Ansan,All,20,0,0,0.0,0.0,0.0,0.0
529476,2020-01-20,Gyeonggi-do,Anseong,All,20,0,0,0.0,0.0,0.0,0.0
529477,2020-01-20,Gyeonggi-do,Anyang,All,20,0,0,0.0,0.0,0.0,0.0
529438,2020-01-20,Chungcheongnam-do,Asan,All,20,0,0,0.0,0.0,0.0,0.0
529504,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,20,0,0,0.0,0.0,0.0,0.0
529478,2020-01-20,Gyeonggi-do,Bucheon,All,20,0,0,0.0,0.0,0.0,0.0
529416,2020-01-20,Busan,Buk,All,20,0,0,0.0,0.0,0.0,0.0
529454,2020-01-20,Daegu,Buk,All,20,0,0,0.0,0.0,0.0,0.0
529471,2020-01-20,Gwangju,Buk,All,20,0,0,0.0,0.0,0.0,0.0
529583,2020-01-20,Ulsan,Buk,All,20,0,0,0.0,0.0,0.0,0.0
529537,2020-01-20,Incheon,Bupyeong,All,20,0,0,0.0,0.0,0.0,0.0
529417,2020-01-20,Busan,Busanjin,All,20,0,0,0.0,0.0,0.0,0.0
529439,2020-01-20,Chungcheongnam-do,Buyeo,All,20,0,0,0.0,0.0,0.0,0.0
529522,2020-01-20,Gyeongsangnam-do,Changnyeong,All,20,0,0,0.0,0.0,0.0,0.0
529523,2020-01-20,Gyeongsangnam-do,Changwon,All,20,0,0,0.0,0.0,0.0,0.0
529440,2020-01-20,Chungcheongnam-do,Cheonan,All,20,0,0,0.0,0.0,0.0,0.0
529505,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,20,0,0,0.0,0.0,0.0,0.0
529431,2020-01-20,Chungcheongbuk-do,Cheongju,All,20,0,0,0.0,0.0,0.0,0.0
529506,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,20,0,0,0.0,0.0,0.0,0.0
529460,2020-01-20,Gangwon-do,Cheorwon,All,20,0,0,0.0,0.0,0.0,0.0
529507,2020-01-20,Gyeongsangbuk-do,Chilgok,All,20,0,0,0.0,0.0,0.0,0.0
529461,2020-01-20,Gangwon-do,Chuncheon,All,20,0,0,0.0,0.0,0.0,0.0
529432,2020-01-20,Chungcheongbuk-do,Chungju,All,20,0,0,0.0,0.0,0.0,0.0
529455,2020-01-20,Daejeon,Daedeok,All,20,0,0,0.0,0.0,0.0,0.0
529447,2020-01-20,Daegu,Dalseo,All,20,0,0,0.0,0.0,0.0,0.0
529448,2020-01-20,Daegu,Dalseong,All,20,0,0,0.0,0.0,0.0,0.0
529433,2020-01-20,Chungcheongbuk-do,Danyang,All,20,0,0,0.0,0.0,0.0,0.0
529558,2020-01-20,Seoul,Dobong,All,20,0,0,0.0,0.0,0.0,0.0
529418,2020-01-20,Busan,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529449,2020-01-20,Daegu,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529456,2020-01-20,Daejeon,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529472,2020-01-20,Gwangju,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529538,2020-01-20,Incheon,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529584,2020-01-20,Ulsan,Dong,All,20,0,0,0.0,0.0,0.0,0.0
529559,2020-01-20,Seoul,Dongdaemun,All,20,0,0,0.0,0.0,0.0,0.0
529479,2020-01-20,Gyeonggi-do,Dongducheon,All,20,0,0,0.0,0.0,0.0,0.0
529560,2020-01-20,Seoul,Dongjak,All,20,0,0,0.0,0.0,0.0,0.0
529419,2020-01-20,Busan,Dongnae,All,20,0,0,0.0,0.0,0.0,0.0
529434,2020-01-20,Chungcheongbuk-do,Eumseong,All,20,0,0,0.0,0.0,0.0,0.0
529561,2020-01-20,Seoul,Eunpyeong,All,20,0,0,0.0,0.0,0.0,0.0
529562,2020-01-20,Seoul,Gangbuk,All,20,0,0,0.0,0.0,0.0,0.0
529563,2020-01-20,Seoul,Gangdong,All,20,0,0,0.0,0.0,0.0,0.0
529539,2020-01-20,Incheon,Ganghwa,All,20,0,0,0.0,0.0,0.0,0.0
529564,2020-01-20,Seoul,Gangnam,All,20,0,0,0.0,0.0,0.0,0.0
529462,2020-01-20,Gangwon-do,Gangneung,All,20,0,0,0.0,0.0,0.0,0.0
529420,2020-01-20,Busan,Gangseo,All,20,0,0,0.0,0.0,0.0,0.0
529565,2020-01-20,Seoul,Gangseo,All,20,0,0,0.0,0.0,0.0,0.0
529480,2020-01-20,Gyeonggi-do,Gapyeong,All,20,0,0,0.0,0.0,0.0,0.0
529524,2020-01-20,Gyeongsangnam-do,Geochang,All,20,0,0,0.0,0.0,0.0,0.0
529525,2020-01-20,Gyeongsangnam-do,Geoje,All,20,0,0,0.0,0.0,0.0,0.0
529566,2020-01-20,Seoul,Geumcheon,All,20,0,0,0.0,0.0,0.0,0.0
529421,2020-01-20,Busan,Geumjeong,All,20,0,0,0.0,0.0,0.0,0.0
529422,2020-01-20,Busan,Gijang,All,20,0,0,0.0,0.0,0.0,0.0
529508,2020-01-20,Gyeongsangbuk-do,Gimcheon,All,20,0,0,0.0,0.0,0.0,0.0
529526,2020-01-20,Gyeongsangnam-do,Gimhae,All,20,0,0,0.0,0.0,0.0,0.0
529547,2020-01-20,Jeollabuk-do,Gimje,All,20,0,0,0.0,0.0,0.0,0.0
529481,2020-01-20,Gyeonggi-do,Gimpo,All,20,0,0,0.0,0.0,0.0,0.0
529435,2020-01-20,Chungcheongbuk-do,Goesan,All,20,0,0,0.0,0.0,0.0,0.0
529509,2020-01-20,Gyeongsangbuk-do,Goryeong,All,20,0,0,0.0,0.0,0.0,0.0
529470,2020-01-20,Gangwon-do,Goseong,All,20,0,0,0.0,0.0,0.0,0.0
529527,2020-01-20,Gyeongsangnam-do,Goseong,All,20,0,0,0.0,0.0,0.0,0.0
529482,2020-01-20,Gyeonggi-do,Goyang,All,20,0,0,0.0,0.0,0.0,0.0
529510,2020-01-20,Gyeongsangbuk-do,Gumi,All,20,0,0,0.0,0.0,0.0,0.0
529483,2020-01-20,Gyeonggi-do,Gunpo,All,20,0,0,0.0,0.0,0.0,0.0
529548,2020-01-20,Jeollabuk-do,Gunsan,All,20,0,0,0.0,0.0,0.0,0.0
529484,2020-01-20,Gyeonggi-do,Guri,All,20,0,0,0.0,0.0,0.0,0.0
529567,2020-01-20,Seoul,Guro,All,20,0,0,0.0,0.0,0.0,0.0
529485,2020-01-20,Gyeonggi-do,Gwacheon,All,20,0,0,0.0,0.0,0.0,0.0
529568,2020-01-20,Seoul,Gwanak,All,20,0,0,0.0,0.0,0.0,0.0
529569,2020-01-20,Seoul,Gwangjin,All,20,0,0,0.0,0.0,0.0,0.0
529486,2020-01-20,Gyeonggi-do,Gwangju,All,20,0,0,0.0,0.0,0.0,0.0
529487,2020-01-20,Gyeonggi-do,Gwangmyeong,All,20,0,0,0.0,0.0,0.0,0.0
529552,2020-01-20,Jeollanam-do,Gwangyang,All,20,0,0,0.0,0.0,0.0,0.0
529511,2020-01-20,Gyeongsangbuk-do,Gyeongju,All,20,0,0,0.0,0.0,0.0,0.0
529512,2020-01-20,Gyeongsangbuk-do,Gyeongsan,All,20,0,0,0.0,0.0,0.0,0.0
529441,2020-01-20,Chungcheongnam-do,Gyeryong,All,20,0,0,0.0,0.0,0.0,0.0
529540,2020-01-20,Incheon,Gyeyang,All,20,0,0,0.0,0.0,0.0,0.0
529423,2020-01-20,Busan,Haeundae,All,20,0,0,0.0,0.0,0.0,0.0
529528,2020-01-20,Gyeongsangnam-do,Haman,All,20,0,0,0.0,0.0,0.0,0.0
529529,2020-01-20,Gyeongsangnam-do,Hamyang,All,20,0,0,0.0,0.0,0.0,0.0
529488,2020-01-20,Gyeonggi-do,Hanam,All,20,0,0,0.0,0.0,0.0,0.0
529530,2020-01-20,Gyeongsangnam-do,Hapcheon,All,20,0,0,0.0,0.0,0.0,0.0
529463,2020-01-20,Gangwon-do,Hoengseong,All,20,0,0,0.0,0.0,0.0,0.0
529442,2020-01-20,Chungcheongnam-do,Hongseong,All,20,0,0,0.0,0.0,0.0,0.0
529489,2020-01-20,Gyeonggi-do,Hwaseong,All,20,0,0,0.0,0.0,0.0,0.0
