name,density
Chungcheongbuk-do,213
Busan,4400
Chungcheongnam-do,251
Gyeonggi-do,1203
Jeollanam-do,163
Seoul,12000
Incheon,2800
Daegu,2818
Daejeon,2800
Gangwon-do,75
Gwangju,3000
Gyeongsangbuk-do,144
Gyeongsangnam-do,320
Jeju,315
Jeollabuk-do,236
Ulsan,1112
