date,province,count,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity
2020-02-23,Gyeongsangnam-do,9,61000.0,4.9,-0.8,10.5,0.0,3.9,90.0,43.4
2020-02-23,Seoul,4,10000.0,2.5,-2.5,8.0,0.0,4.2,270.0,48.6
2020-02-24,Busan,6,11000.0,10.8,5.5,15.7,0.0,7.6,230.0,46.9
2020-02-24,Daegu,1,12000.0,8.1,-1.2,16.4,0.0,2.8,290.0,40.3
2020-02-24,Gyeonggi-do,12,20000.0,7.0,-0.7,13.7,0.0,2.9,140.0,70.6
2020-02-24,Gyeongsangbuk-do,29,60000.0,9.3,3.9,15.8,0.0,6.4,180.0,37.6
2020-02-24,Gyeongsangnam-do,6,61000.0,8.4,0.1,15.9,0.2,4.1,160.0,54.8
2020-02-24,Seoul,2,10000.0,7.0,0.8,12.2,0.0,3.4,50.0,51.8
2020-02-24,Ulsan,1,16000.0,10.8,2.1,19.0,0.0,4.2,200.0,31.9
2020-02-25,Busan,11,11000.0,9.7,7.9,12.7,49.8,5.9,50.0,94.3
2020-02-25,Chungcheongbuk-do,3,40000.0,6.1,3.7,7.9,29.4,5.8,90.0,81.9
2020-02-25,Chungcheongnam-do,3,41000.0,6.6,5.1,7.9,40.8,5.1,50.0,90.1
2020-02-25,Daegu,1,12000.0,7.0,5.7,9.8,29.0,6.5,140.0,96.4
2020-02-25,Gyeonggi-do,7,20000.0,6.8,5.6,8.3,22.6,4.9,70.0,92.8
2020-02-25,Gyeongsangbuk-do,53,60000.0,6.6,5.5,9.7,33.3,8.8,20.0,92.0
2020-02-25,Gyeongsangnam-do,5,61000.0,8.1,7.1,10.0,25.8,3.0,20.0,93.3
2020-02-25,Incheon,1,14000.0,7.0,5.1,9.9,17.5,7.4,70.0,77.5
2020-02-25,Seoul,8,10000.0,6.7,4.7,9.4,16.6,6.8,70.0,73.5
2020-02-25,Ulsan,2,16000.0,7.9,7.3,11.5,29.9,4.0,340.0,96.4
2020-02-26,Busan,5,11000.0,9.5,6.8,14.1,1.8,4.5,50.0,79.3
2020-02-26,Chungcheongbuk-do,1,40000.0,6.4,0.2,11.9,0.0,2.8,230.0,73.9
2020-02-26,Chungcheongnam-do,5,41000.0,5.4,0.4,11.6,0.0,5.8,20.0,74.5
2020-02-26,Daegu,1,12000.0,8.3,5.9,13.5,0.2,6.7,110.0,82.8
2020-02-26,Daejeon,5,15000.0,8.0,4.2,14.7,0.0,4.2,270.0,76.1
2020-02-26,Gyeonggi-do,9,20000.0,5.6,1.1,11.4,0.0,4.9,290.0,87.5
2020-02-26,Gyeongsangbuk-do,71,60000.0,6.1,3.3,10.1,5.4,7.9,20.0,89.5
2020-02-26,Gyeongsangnam-do,15,61000.0,9.0,6.6,13.2,0.0,5.8,20.0,75.5
2020-02-26,Jeollabuk-do,1,50000.0,8.1,3.7,14.0,0.0,5.7,230.0,75.5
2020-02-26,Seoul,10,10000.0,6.4,2.8,10.4,0.0,4.0,50.0,59.6
2020-02-26,Ulsan,1,16000.0,8.5,6.5,10.7,0.0,4.1,340.0,85.0
2020-02-27,Busan,6,11000.0,6.8,4.7,10.7,1.5,4.8,50.0,66.4
2020-02-27,Chungcheongbuk-do,3,40000.0,5.5,0.9,10.1,0.0,3.7,90.0,60.9
2020-02-27,Chungcheongnam-do,10,41000.0,5.2,-0.1,12.1,0.0,4.6,20.0,72.5
2020-02-27,Daegu,2,12000.0,6.1,4.6,9.3,0.0,5.0,110.0,68.0
2020-02-27,Daejeon,1,15000.0,6.9,3.4,12.5,0.0,3.2,50.0,66.0
2020-02-27,Gangwon-do,1,30000.0,3.9,1.1,8.7,0.8,3.2,230.0,81.1
2020-02-27,Gyeonggi-do,10,20000.0,5.5,0.2,11.6,0.0,3.1,250.0,80.4
2020-02-27,Gyeongsangbuk-do,52,60000.0,3.9,-0.7,9.3,0.3,5.2,20.0,77.3
2020-02-27,Gyeongsangnam-do,5,61000.0,5.9,3.3,9.2,0.6,4.1,20.0,66.3
2020-02-27,Jeollabuk-do,1,50000.0,6.5,1.5,12.3,0.0,3.1,230.0,70.0
2020-02-27,Seoul,18,10000.0,6.1,1.3,12.5,0.0,4.4,70.0,54.0
2020-02-27,Ulsan,5,16000.0,5.5,2.3,8.0,0.0,4.1,340.0,68.0
2020-02-28,Busan,5,11000.0,6.9,4.8,8.9,0.2,3.6,50.0,70.0
2020-02-28,Chungcheongnam-do,27,41000.0,4.7,1.5,7.8,7.3,3.3,20.0,93.1
2020-02-28,Daegu,3,12000.0,4.5,2.3,8.1,1.0,3.6,140.0,90.0
2020-02-28,Daejeon,3,15000.0,5.1,3.7,6.7,4.6,2.5,50.0,86.5
2020-02-28,Gyeonggi-do,11,20000.0,4.6,2.9,5.7,5.2,2.2,110.0,95.0
2020-02-28,Gyeongsangbuk-do,59,60000.0,3.9,-1.4,8.5,0.0,3.2,200.0,81.6
2020-02-28,Gyeongsangnam-do,12,61000.0,5.1,3.4,7.5,0.0,3.2,50.0,76.8
2020-02-28,Incheon,3,14000.0,4.3,2.8,5.1,4.1,3.4,20.0,85.0
2020-02-28,Jeollanam-do,1,51000.0,6.9,6.4,7.9,1.3,7.5,50.0,78.1
2020-02-28,Seoul,7,10000.0,4.5,3.6,5.9,3.9,4.2,50.0,79.4
2020-02-28,Ulsan,6,16000.0,4.7,1.5,8.4,2.9,3.3,320.0,89.8
2020-02-29,Busan,5,11000.0,9.5,7.0,13.0,0.0,3.9,50.0,72.9
2020-02-29,Chungcheongbuk-do,1,40000.0,6.2,1.8,12.2,0.0,2.1,90.0,80.9
2020-02-29,Chungcheongnam-do,17,41000.0,6.7,2.5,11.9,0.0,3.9,20.0,81.9
2020-02-29,Daegu,3,12000.0,6.3,2.0,11.8,0.0,2.7,110.0,88.6
2020-02-29,Gangwon-do,1,30000.0,7.4,4.2,10.0,0.0,5.0,230.0,67.4
2020-02-29,Gyeonggi-do,10,20000.0,7.0,3.3,13.0,0.0,3.7,270.0,91.8
2020-02-29,Gyeongsangbuk-do,53,60000.0,7.4,0.7,13.0,0.0,6.2,50.0,77.1
2020-02-29,Gyeongsangnam-do,1,61000.0,6.3,3.8,10.3,0.0,5.0,20.0,78.3
2020-02-29,Jeollabuk-do,1,50000.0,7.7,2.8,14.0,0.0,2.8,290.0,74.4
2020-02-29,Jeollanam-do,1,51000.0,8.6,6.4,10.9,0.0,7.7,50.0,75.3
2020-02-29,Seoul,10,10000.0,7.7,4.5,13.0,0.5,4.2,50.0,68.6
2020-03-01,Busan,3,11000.0,10.8,7.2,15.6,0.0,4.3,50.0,67.3
2020-03-01,Chungcheongnam-do,14,41000.0,4.7,-0.1,7.6,0.0,5.7,230.0,81.5
2020-03-01,Daegu,5,12000.0,9.4,3.6,14.7,0.0,5.7,110.0,78.5
2020-03-01,Daejeon,1,15000.0,6.3,2.6,11.8,0.0,4.3,140.0,81.8
2020-03-01,Gangwon-do,10,30000.0,8.0,2.4,13.4,0.0,5.1,110.0,72.4
2020-03-01,Gyeonggi-do,9,20000.0,4.8,0.4,10.2,0.0,4.3,270.0,95.1
2020-03-01,Gyeongsangbuk-do,77,60000.0,8.3,5.7,10.8,0.0,3.1,160.0,78.8
2020-03-01,Gyeongsangnam-do,2,61000.0,8.9,3.9,14.8,0.0,4.1,360.0,71.4
2020-03-01,Incheon,1,14000.0,5.1,3.8,7.6,0.0,6.5,200.0,84.1
2020-03-01,Jeollanam-do,1,51000.0,10.1,7.2,13.5,0.0,9.5,50.0,69.6
2020-03-01,Seoul,7,10000.0,5.8,3.2,10.1,0.2,4.7,270.0,71.8
2020-03-01,Ulsan,3,16000.0,9.4,5.2,12.5,0.0,4.0,90.0,77.0
2020-03-02,Busan,1,11000.0,8.5,5.2,14.7,0.0,6.1,270.0,50.9
2020-03-02,Chungcheongnam-do,3,41000.0,3.4,-0.1,6.8,0.0,5.7,320.0,60.8
2020-03-02,Gangwon-do,2,30000.0,5.9,3.1,8.8,0.5,7.1,230.0,61.8
2020-03-02,Gwangju,3,13000.0,6.0,3.0,10.2,0.0,3.6,20.0,52.4
2020-03-02,Gyeonggi-do,2,20000.0,3.1,0.6,6.8,0.0,5.9,290.0,76.5
2020-03-02,Gyeongsangbuk-do,48,60000.0,6.1,2.3,11.1,0.0,10.0,290.0,63.6
2020-03-02,Gyeongsangnam-do,1,61000.0,7.7,4.5,12.4,0.0,6.7,50.0,43.8
