,date,age,confirmed,deceased
195,2020-03-23,60s,1139,18
196,2020-03-23,70s,599,38
197,2020-03-23,80s,396,46
198,2020-03-24,0s,105,0
199,2020-03-24,10s,468,0
200,2020-03-24,20s,2438,0
201,2020-03-24,30s,921,1
202,2020-03-24,40s,1234,1
203,2020-03-24,50s,1716,8
204,2020-03-24,60s,1146,20
205,2020-03-24,70s,608,38
206,2020-03-24,80s,401,52
207,2020-03-25,0s,105,0
208,2020-03-25,10s,475,0
209,2020-03-25,20s,2473,0
210,2020-03-25,30s,943,1
211,2020-03-25,40s,1246,1
212,2020-03-25,50s,1724,10
213,2020-03-25,60s,1154,20
214,2020-03-25,70s,611,39
215,2020-03-25,80s,406,55
216,2020-03-26,0s,106,0
217,2020-03-26,10s,488,0
218,2020-03-26,20s,2508,0
219,2020-03-26,30s,955,1
220,2020-03-26,40s,1252,1
221,2020-03-26,50s,1738,10
222,2020-03-26,60s,1162,20
223,2020-03-26,70s,616,41
224,2020-03-26,80s,416,58
225,2020-03-27,0s,108,0
226,2020-03-27,10s,496,0
227,2020-03-27,20s,2532,0
228,2020-03-27,30s,960,1
229,2020-03-27,40s,1256,1
230,2020-03-27,50s,1752,10
231,2020-03-27,60s,1170,21
232,2020-03-27,70s,630,41
233,2020-03-27,80s,428,65
234,2020-03-28,0s,109,0
235,2020-03-28,10s,501,0
236,2020-03-28,20s,2567,0
237,2020-03-28,30s,978,1
238,2020-03-28,40s,1278,1
239,2020-03-28,50s,1780,10
240,2020-03-28,60s,1201,21
241,2020-03-28,70s,632,41
242,2020-03-28,80s,432,70
243,2020-03-29,0s,111,0
244,2020-03-29,10s,508,0
245,2020-03-29,20s,2602,0
246,2020-03-29,30s,993,1
247,2020-03-29,40s,1292,1
248,2020-03-29,50s,1798,10
249,2020-03-29,60s,1210,21
250,2020-03-29,70s,635,43
251,2020-03-29,80s,434,76
252,2020-03-30,0s,112,0
253,2020-03-30,10s,513,0
254,2020-03-30,20s,2630,0
255,2020-03-30,30s,1002,1
256,2020-03-30,40s,1297,1
257,2020-03-30,50s,1812,10
258,2020-03-30,60s,1218,21
259,2020-03-30,70s,640,45
260,2020-03-30,80s,437,80
261,2020-03-31,0s,112,0
262,2020-03-31,10s,515,0
263,2020-03-31,20s,2656,0
264,2020-03-31,30s,1012,1
265,2020-03-31,40s,1312,1
266,2020-03-31,50s,1851,10
267,2020-03-31,60s,1235,22
268,2020-03-31,70s,651,46
269,2020-03-31,80s,442,82
270,2020-04-01,0s,116,0
271,2020-04-01,10s,519,0
272,2020-04-01,20s,2682,0
273,2020-04-01,30s,1027,1
274,2020-04-01,40s,1323,1
275,2020-04-01,50s,1865,10
276,2020-04-01,60s,1245,23
277,2020-04-01,70s,658,46
278,2020-04-01,80s,452,84
279,2020-04-02,0s,119,0
280,2020-04-02,10s,522,0
281,2020-04-02,20s,2704,0
282,2020-04-02,30s,1043,1
283,2020-04-02,40s,1336,2
284,2020-04-02,50s,1878,11
285,2020-04-02,60s,1258,23
286,2020-04-02,70s,663,47
287,2020-04-02,80s,453,85
288,2020-04-03,0s,121,0
289,2020-04-03,10s,528,0
290,2020-04-03,20s,2734,0
291,2020-04-03,30s,1052,1
292,2020-04-03,40s,1350,2
293,2020-04-03,50s,1887,12
294,2020-04-03,60s,1266,24
295,2020-04-03,70s,668,49
296,2020-04-03,80s,456,86
297,2020-04-04,0s,122,0
298,2020-04-04,10s,530,0
299,2020-04-04,20s,2761,0
300,2020-04-04,30s,1066,1
301,2020-04-04,40s,1358,2
302,2020-04-04,50s,1898,12
303,2020-04-04,60s,1282,25
304,2020-04-04,70s,678,50
305,2020-04-04,80s,461,87
306,2020-04-05,0s,124,0
307,2020-04-05,10s,535,0
308,2020-04-05,20s,2789,0
309,2020-04-05,30s,1083,1
310,2020-04-05,40s,1370,2
311,2020-04-05,50s,1904,13
312,2020-04-05,60s,1289,25
313,2020-04-05,70s,681,51
314,2020-04-05,80s,462,91
315,2020-04-06,0s,126,0
316,2020-04-06,10s,542,0
317,2020-04-06,20s,2804,0
318,2020-04-06,30s,1086,1
319,2020-04-06,40s,1375,2
320,2020-04-06,50s,1906,13
321,2020-04-06,60s,1294,26
322,2020-04-06,70s,686,52
323,2020-04-06,80s,465,92
324,2020-04-07,0s,126,0
325,2020-04-07,10s,544,0
326,2020-04-07,20s,2819,0
327,2020-04-07,30s,1092,1
328,2020-04-07,40s,1382,2
329,2020-04-07,50s,1909,13
330,2020-04-07,60s,1304,26
331,2020-04-07,70s,689,57
332,2020-04-07,80s,466,93
333,2020-04-08,0s,126,0
334,2020-04-08,10s,548,0
335,2020-04-08,20s,2832,0
336,2020-04-08,30s,1102,1
337,2020-04-08,40s,1387,3
338,2020-04-08,50s,1915,13
339,2020-04-08,60s,1312,27
340,2020-04-08,70s,692,60
341,2020-04-08,80s,470,96
342,2020-04-09,0s,128,0
343,2020-04-09,10s,552,0
344,2020-04-09,20s,2844,0
345,2020-04-09,30s,1109,1
346,2020-04-09,40s,1394,3
347,2020-04-09,50s,1917,13
348,2020-04-09,60s,1314,27
349,2020-04-09,70s,692,60
350,2020-04-09,80s,473,100
351,2020-04-10,0s,129,0
352,2020-04-10,10s,553,0
353,2020-04-10,20s,2851,0
354,2020-04-10,30s,1113,1
355,2020-04-10,40s,1396,3
356,2020-04-10,50s,1920,13
357,2020-04-10,60s,1320,28
358,2020-04-10,70s,694,62
359,2020-04-10,80s,474,101
360,2020-04-11,0s,130,0
361,2020-04-11,10s,558,0
362,2020-04-11,20s,2856,0
363,2020-04-11,30s,1115,1
364,2020-04-11,40s,1399,3
365,2020-04-11,50s,1926,14
366,2020-04-11,60s,1327,29
367,2020-04-11,70s,694,63
368,2020-04-11,80s,475,101
369,2020-04-12,0s,130,0
370,2020-04-12,10s,561,0
371,2020-04-12,20s,2869,0
372,2020-04-12,30s,1120,1
373,2020-04-12,40s,1400,3
374,2020-04-12,50s,1930,14
375,2020-04-12,60s,1330,31
376,2020-04-12,70s,697,63
377,2020-04-12,80s,475,102
